episode_number,done,out_of_lane,exceed_max_rot,crashed,overlap,n_passed,num_steps
0,True,False,False,True,[0.05337079],0,32
1,False,False,False,False,[0.],0,91
2,False,False,False,False,[0.],0,91
3,True,True,True,False,[0.],0,28
4,False,False,False,False,[0.],0,91
5,True,False,True,True,[0.00258056],0,22
6,True,False,False,True,[0.01230494],0,19
7,True,False,False,True,[0.],0,22
8,False,False,False,False,[0.],0,91
9,True,True,True,False,[0.],1,34
10,True,True,True,False,[0.],1,33
11,True,True,True,False,[0.],0,27
12,True,True,True,False,[0.],0,35
13,True,False,False,True,[0.02979957],0,27
14,False,False,False,False,[0.],0,91
15,True,False,False,True,[0.00571796],0,18
16,True,True,True,False,[0.],0,34
17,False,False,False,False,[0.],0,91
18,False,False,False,False,[0.],0,91
19,False,False,False,False,[0.],0,91
20,True,True,True,False,[0.],0,25
21,True,False,True,True,[0.00595597],0,17
22,False,False,False,False,[0.],0,91
23,False,False,False,False,[0.],0,91
24,True,True,True,False,[0.],0,44
25,False,False,False,False,[0.],0,91
26,True,True,True,False,[0.],0,47
27,True,True,True,False,[0.],0,30
28,False,False,False,False,[0.],0,91
29,True,False,True,True,[0.],0,24
30,False,False,False,False,[0.],0,91
31,True,False,True,True,[0.],0,22
32,False,False,True,False,[0.],0,91
33,True,True,True,False,[0.],0,32
34,False,False,False,False,[0.],0,91
35,False,False,False,False,[0.],0,91
36,True,False,False,True,[0.],0,23
37,True,True,True,False,[0.],0,28
38,True,True,True,False,[0.],0,28
39,False,False,False,False,[0.],0,91
40,False,False,False,False,[0.],0,91
41,False,False,True,False,[0.],0,91
42,True,False,False,True,[0.07514333],0,22
43,True,False,False,True,[0.],0,25
44,True,False,False,True,[0.],0,23
45,False,False,True,False,[0.],0,91
46,False,False,False,False,[0.],0,91
47,False,False,False,False,[0.],0,91
48,False,False,False,False,[0.],0,91
49,True,False,True,True,[0.01501563],0,20
